"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Collection Agency","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Filtration Date","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"Y","L001","0044","","11-DEC-1972 00:00","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".008","0.008","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0045","","11-DEC-1972 00:00","SAMP","G","2.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".041","0.041","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0044","","11-DEC-1972 00:00","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".048","0.048","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0045","","11-DEC-1972 00:00","SAMP","G","2.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".003","0.003","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0076","","05-FEB-1973 16:05","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".078","0.078","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0076","","05-FEB-1973 16:05","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".019","0.019","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0077","","05-FEB-1973 16:15","SAMP","G","2.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".004","0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0077","","05-FEB-1973 16:15","SAMP","G","2.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".08","0.080","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0094","","05-MAR-1973 15:07","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".045","0.045","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0094","","05-MAR-1973 15:07","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".002","0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
