"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Collection Agency","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Filtration Date","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"Y","L004","0027","","06-NOV-1972 12:55","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".002","0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L004","0027","","06-NOV-1972 12:55","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L004","0027","","06-NOV-1972 12:55","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".045","0.045","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L004","0028","","06-NOV-1972 13:10","SAMP","G","3.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L004","0028","","06-NOV-1972 13:10","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L004","0028","","06-NOV-1972 13:10","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".05","0.050","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L004","0050","","11-DEC-1972 12:15","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".011","0.011","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L004","0050","","11-DEC-1972 12:15","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".044","0.044","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L004","0050","","11-DEC-1972 12:15","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".051","0.051","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L004","0051","","11-DEC-1972 12:20","SAMP","G","2.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
